Foldername,BERTScore Precision,BERTScore Recall,BERTScore F1
generated_msg/py/llama2_70b/0.0,0.87,0.93,0.9
generated_msg/py/llama2_70b/0.0,0.82,0.8,0.81
generated_msg/py/llama2_70b/0.0,0.79,0.86,0.82
generated_msg/py/llama2_70b/0.0,0.82,0.79,0.81
generated_msg/py/llama2_70b/0.0,0.84,0.78,0.81
generated_msg/py/llama2_70b/0.0,0.86,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.9,0.89
generated_msg/py/llama2_70b/0.0,0.8,0.85,0.82
generated_msg/py/llama2_70b/0.0,0.82,0.85,0.83
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.87,0.86,0.87
generated_msg/py/llama2_70b/0.0,0.83,0.83,0.83
generated_msg/py/llama2_70b/0.0,0.83,0.92,0.87
generated_msg/py/llama2_70b/0.0,0.84,0.81,0.83
generated_msg/py/llama2_70b/0.0,0.85,0.78,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.84,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.86,0.85
generated_msg/py/llama2_70b/0.0,0.93,0.84,0.88
generated_msg/py/llama2_70b/0.0,0.84,0.79,0.81
generated_msg/py/llama2_70b/0.0,0.87,0.79,0.83
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.84,0.79,0.81
generated_msg/py/llama2_70b/0.0,0.86,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.9,0.79,0.84
generated_msg/py/llama2_70b/0.0,0.83,0.75,0.79
generated_msg/py/llama2_70b/0.0,0.84,0.78,0.81
generated_msg/py/llama2_70b/0.0,0.79,0.86,0.82
generated_msg/py/llama2_70b/0.0,0.84,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.82,0.8,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.74,0.78
generated_msg/py/llama2_70b/0.0,0.85,0.89,0.87
generated_msg/py/llama2_70b/0.0,0.82,0.89,0.85
generated_msg/py/llama2_70b/0.0,0.84,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.82,0.86,0.84
generated_msg/py/llama2_70b/0.0,0.8,0.74,0.77
generated_msg/py/llama2_70b/0.0,0.86,0.89,0.88
generated_msg/py/llama2_70b/0.0,0.95,0.81,0.88
generated_msg/py/llama2_70b/0.0,0.79,0.84,0.81
generated_msg/py/llama2_70b/0.0,0.84,0.73,0.78
generated_msg/py/llama2_70b/0.0,0.8,0.86,0.83
generated_msg/py/llama2_70b/0.0,0.82,0.76,0.79
generated_msg/py/llama2_70b/0.0,0.82,0.83,0.82
generated_msg/py/llama2_70b/0.0,0.83,0.82,0.82
generated_msg/py/llama2_70b/0.0,0.79,0.68,0.73
generated_msg/py/llama2_70b/0.0,0.91,0.79,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.77,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.9,0.8,0.85
generated_msg/py/llama2_70b/0.0,0.87,0.87,0.87
generated_msg/py/llama2_70b/0.0,0.85,0.8,0.82
generated_msg/py/llama2_70b/0.0,0.87,0.85,0.86
generated_msg/py/llama2_70b/0.0,0.82,0.82,0.82
generated_msg/py/llama2_70b/0.0,0.81,0.88,0.85
generated_msg/py/llama2_70b/0.0,0.82,0.78,0.8
generated_msg/py/llama2_70b/0.0,0.9,0.88,0.89
generated_msg/py/llama2_70b/0.0,0.91,0.83,0.87
generated_msg/py/llama2_70b/0.0,0.86,0.77,0.81
generated_msg/py/llama2_70b/0.0,0.84,0.86,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.88,0.9,0.89
generated_msg/py/llama2_70b/0.0,0.8,0.79,0.79
generated_msg/py/llama2_70b/0.0,0.82,0.78,0.8
generated_msg/py/llama2_70b/0.0,0.84,0.86,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.84,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.8,0.82
generated_msg/py/llama2_70b/0.0,0.86,0.89,0.88
generated_msg/py/llama2_70b/0.0,0.87,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.81,0.76,0.79
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.82,0.86,0.84
generated_msg/py/llama2_70b/0.0,0.89,0.81,0.85
generated_msg/py/llama2_70b/0.0,0.84,0.81,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.88,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.81,0.84
generated_msg/py/llama2_70b/0.0,0.85,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.92,0.91,0.91
generated_msg/py/llama2_70b/0.0,0.86,0.82,0.84
generated_msg/py/llama2_70b/0.0,0.86,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.84,0.83,0.83
generated_msg/py/llama2_70b/0.0,0.75,0.81,0.78
generated_msg/py/llama2_70b/0.0,0.84,0.8,0.82
generated_msg/py/llama2_70b/0.0,0.87,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.8,0.76,0.78
generated_msg/py/llama2_70b/0.0,0.82,0.76,0.79
generated_msg/py/llama2_70b/0.0,0.8,0.84,0.82
generated_msg/py/llama2_70b/0.0,0.84,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.87,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.79,0.82
generated_msg/py/llama2_70b/0.0,0.84,0.92,0.88
generated_msg/py/llama2_70b/0.0,0.81,0.74,0.77
generated_msg/py/llama2_70b/0.0,0.87,0.77,0.82
generated_msg/py/llama2_70b/0.0,0.83,0.79,0.81
generated_msg/py/llama2_70b/0.0,0.85,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.93,0.92,0.92
generated_msg/py/llama2_70b/0.0,0.85,0.71,0.78
generated_msg/py/llama2_70b/0.0,0.83,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.86,0.89,0.87
generated_msg/py/llama2_70b/0.0,0.8,0.83,0.81
generated_msg/py/llama2_70b/0.0,0.87,0.84,0.85
generated_msg/py/llama2_70b/0.0,0.82,0.76,0.79
generated_msg/py/llama2_70b/0.0,0.88,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.85,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.83,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.85,0.81,0.83
generated_msg/py/llama2_70b/0.0,0.81,0.79,0.8
generated_msg/py/llama2_70b/0.0,0.89,0.84,0.86
generated_msg/py/llama2_70b/0.0,0.88,0.75,0.81
generated_msg/py/llama2_70b/0.0,0.84,0.77,0.8
generated_msg/py/llama2_70b/0.0,0.86,0.89,0.88
generated_msg/py/llama2_70b/0.0,0.83,0.77,0.8
generated_msg/py/llama2_70b/0.0,0.91,0.83,0.87
generated_msg/py/llama2_70b/0.0,0.83,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.85,0.86,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.85,0.89,0.87
generated_msg/py/llama2_70b/0.0,0.86,0.74,0.8
generated_msg/py/llama2_70b/0.0,0.9,0.84,0.87
generated_msg/py/llama2_70b/0.0,0.89,0.86,0.88
generated_msg/py/llama2_70b/0.0,0.81,0.87,0.84
generated_msg/py/llama2_70b/0.0,0.86,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.85,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.82,0.88,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.91,0.88
generated_msg/py/llama2_70b/0.0,0.8,0.76,0.78
generated_msg/py/llama2_70b/0.0,0.87,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.73,0.77
generated_msg/py/llama2_70b/0.0,0.84,0.8,0.82
generated_msg/py/llama2_70b/0.0,0.84,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.81,0.84
generated_msg/py/llama2_70b/0.0,0.85,0.83,0.84
generated_msg/py/llama2_70b/0.0,0.87,0.9,0.89
generated_msg/py/llama2_70b/0.0,0.87,0.83,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.88,0.91,0.9
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.84,0.88,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.79,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.86,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.86,0.9,0.88
generated_msg/py/llama2_70b/0.0,0.84,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.91,0.91,0.91
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.88,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.88,0.85,0.87
generated_msg/py/llama2_70b/0.0,0.86,0.8,0.83
generated_msg/py/llama2_70b/0.0,0.86,0.8,0.83
generated_msg/py/llama2_70b/0.0,0.82,0.76,0.79
generated_msg/py/llama2_70b/0.0,0.89,0.77,0.83
generated_msg/py/llama2_70b/0.0,0.85,0.77,0.81
generated_msg/py/llama2_70b/0.0,0.82,0.91,0.86
generated_msg/py/llama2_70b/0.0,0.88,0.82,0.85
generated_msg/py/llama2_70b/0.0,0.84,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.91,0.95,0.93
generated_msg/py/llama2_70b/0.0,0.85,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.82,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.81,0.82,0.82
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.85,0.88,0.87
generated_msg/py/llama2_70b/0.0,0.85,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.89,0.87
generated_msg/py/llama2_70b/0.0,0.87,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.88,0.82,0.85
generated_msg/py/llama2_70b/0.0,0.84,0.77,0.8
generated_msg/py/llama2_70b/0.0,0.84,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.8,0.81,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.87,0.85
generated_msg/py/llama2_70b/0.0,0.82,0.86,0.84
generated_msg/py/llama2_70b/0.0,0.81,0.87,0.84
generated_msg/py/llama2_70b/0.0,0.87,0.88,0.88
generated_msg/py/llama2_70b/0.0,0.86,0.82,0.84
generated_msg/py/llama2_70b/0.0,0.85,0.84,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.87,0.88,0.87
generated_msg/py/llama2_70b/0.0,0.81,0.81,0.81
generated_msg/py/llama2_70b/0.0,0.85,0.78,0.81
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.86,0.88,0.87
generated_msg/py/llama2_70b/0.0,0.83,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.87,0.77,0.81
generated_msg/py/llama2_70b/0.0,0.81,0.82,0.82
generated_msg/py/llama2_70b/0.0,0.87,0.8,0.83
generated_msg/py/llama2_70b/0.0,0.89,0.91,0.9
generated_msg/py/llama2_70b/0.0,0.87,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.87,0.83,0.85
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.67,0.74
generated_msg/py/llama2_70b/0.0,0.89,0.89,0.89
generated_msg/py/llama2_70b/0.0,0.85,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.87,0.79,0.83
generated_msg/py/llama2_70b/0.0,0.91,0.89,0.9
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.82,0.88,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.89,0.8,0.84
generated_msg/py/llama2_70b/0.0,0.87,0.89,0.88
generated_msg/py/llama2_70b/0.0,0.81,0.87,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.86,0.85
generated_msg/py/llama2_70b/0.0,0.8,0.75,0.78
generated_msg/py/llama2_70b/0.0,0.92,0.96,0.94
generated_msg/py/llama2_70b/0.0,0.83,0.69,0.76
generated_msg/py/llama2_70b/0.0,0.84,0.7,0.77
generated_msg/py/llama2_70b/0.0,0.89,0.9,0.9
generated_msg/py/llama2_70b/0.0,0.84,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.88,0.86,0.87
generated_msg/py/llama2_70b/0.0,0.83,0.79,0.81
generated_msg/py/llama2_70b/0.0,0.79,0.81,0.8
generated_msg/py/llama2_70b/0.0,0.83,0.74,0.78
generated_msg/py/llama2_70b/0.0,0.83,0.78,0.81
generated_msg/py/llama2_70b/0.0,0.89,0.88,0.88
generated_msg/py/llama2_70b/0.0,0.82,0.85,0.83
generated_msg/py/llama2_70b/0.0,0.9,0.94,0.92
generated_msg/py/llama2_70b/0.0,0.8,0.86,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.75,0.79
generated_msg/py/llama2_70b/0.0,0.88,0.83,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.93,0.86,0.89
generated_msg/py/llama2_70b/0.0,0.78,0.84,0.81
generated_msg/py/llama2_70b/0.0,0.84,0.81,0.82
generated_msg/py/llama2_70b/0.0,0.89,0.79,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.86,0.85
generated_msg/py/llama2_70b/0.0,0.89,0.9,0.89
generated_msg/py/llama2_70b/0.0,0.78,0.81,0.79
generated_msg/py/llama2_70b/0.0,0.82,0.8,0.81
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.83,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.8,0.77,0.79
generated_msg/py/llama2_70b/0.0,0.86,0.83,0.84
generated_msg/py/llama2_70b/0.0,0.83,0.76,0.79
generated_msg/py/llama2_70b/0.0,0.79,0.84,0.81
generated_msg/py/llama2_70b/0.0,0.89,0.81,0.85
generated_msg/py/llama2_70b/0.0,0.87,0.84,0.86
generated_msg/py/llama2_70b/0.0,0.83,0.86,0.84
generated_msg/py/llama2_70b/0.0,0.94,0.97,0.96
generated_msg/py/llama2_70b/0.0,0.81,0.84,0.82
generated_msg/py/llama2_70b/0.0,0.89,0.79,0.84
generated_msg/py/llama2_70b/0.0,0.89,0.77,0.82
generated_msg/py/llama2_70b/0.0,0.85,0.8,0.83
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.9,0.91,0.9
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.9,0.75,0.82
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.8,0.69,0.74
generated_msg/py/llama2_70b/0.0,0.8,0.82,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.71,0.77
generated_msg/py/llama2_70b/0.0,0.78,0.85,0.82
generated_msg/py/llama2_70b/0.0,0.87,0.87,0.87
generated_msg/py/llama2_70b/0.0,0.8,0.82,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.88,0.85
generated_msg/py/llama2_70b/0.0,0.77,0.8,0.79
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.84,0.79,0.82
generated_msg/py/llama2_70b/0.0,0.85,0.78,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.8,0.82
generated_msg/py/llama2_70b/0.0,0.82,0.73,0.77
generated_msg/py/llama2_70b/0.0,0.76,0.83,0.79
generated_msg/py/llama2_70b/0.0,0.84,0.9,0.87
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.88,0.86,0.87
generated_msg/py/llama2_70b/0.0,0.88,0.79,0.83
generated_msg/py/llama2_70b/0.0,0.85,0.9,0.87
generated_msg/py/llama2_70b/0.0,0.81,0.82,0.82
generated_msg/py/llama2_70b/0.0,0.9,0.91,0.9
generated_msg/py/llama2_70b/0.0,0.89,0.8,0.84
generated_msg/py/llama2_70b/0.0,0.9,0.89,0.89
generated_msg/py/llama2_70b/0.0,0.83,0.8,0.81
generated_msg/py/llama2_70b/0.0,0.84,0.76,0.8
generated_msg/py/llama2_70b/0.0,0.89,0.83,0.86
generated_msg/py/llama2_70b/0.0,0.82,0.72,0.77
generated_msg/py/llama2_70b/0.0,0.83,0.7,0.75
generated_msg/py/llama2_70b/0.0,0.82,0.76,0.79
generated_msg/py/llama2_70b/0.0,0.89,0.89,0.89
generated_msg/py/llama2_70b/0.0,0.84,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.87,0.92,0.89
generated_msg/py/llama2_70b/0.0,0.89,0.9,0.9
generated_msg/py/llama2_70b/0.0,0.83,0.68,0.75
generated_msg/py/llama2_70b/0.0,0.82,0.79,0.8
generated_msg/py/llama2_70b/0.0,0.81,0.86,0.83
generated_msg/py/llama2_70b/0.0,0.86,0.75,0.8
generated_msg/py/llama2_70b/0.0,0.9,0.8,0.85
generated_msg/py/llama2_70b/0.0,0.85,0.88,0.87
generated_msg/py/llama2_70b/0.0,0.83,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.89,0.88,0.88
generated_msg/py/llama2_70b/0.0,0.87,0.84,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.8,0.83
generated_msg/py/llama2_70b/0.0,0.88,0.79,0.83
generated_msg/py/llama2_70b/0.0,0.83,0.81,0.82
generated_msg/py/llama2_70b/0.0,0.87,0.84,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.83,0.9,0.86
generated_msg/py/llama2_70b/0.0,0.84,0.81,0.83
generated_msg/py/llama2_70b/0.0,0.88,0.88,0.88
generated_msg/py/llama2_70b/0.0,0.84,0.77,0.8
generated_msg/py/llama2_70b/0.0,0.91,0.84,0.87
generated_msg/py/llama2_70b/0.0,0.82,0.78,0.8
generated_msg/py/llama2_70b/0.0,0.87,0.8,0.84
generated_msg/py/llama2_70b/0.0,0.78,0.85,0.81
generated_msg/py/llama2_70b/0.0,0.85,0.92,0.88
generated_msg/py/llama2_70b/0.0,0.86,0.83,0.85
generated_msg/py/llama2_70b/0.0,0.87,0.85,0.86
generated_msg/py/llama2_70b/0.0,0.81,0.75,0.78
generated_msg/py/llama2_70b/0.0,0.81,0.8,0.8
generated_msg/py/llama2_70b/0.0,0.85,0.74,0.79
generated_msg/py/llama2_70b/0.0,0.82,0.85,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.76,0.8
generated_msg/py/llama2_70b/0.0,0.88,0.91,0.89
generated_msg/py/llama2_70b/0.0,0.82,0.86,0.84
generated_msg/py/llama2_70b/0.0,0.86,0.82,0.84
generated_msg/py/llama2_70b/0.0,0.83,0.86,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.83,0.83
generated_msg/py/llama2_70b/0.0,0.93,0.85,0.89
generated_msg/py/llama2_70b/0.0,0.9,0.77,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.85,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.85,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.83,0.72,0.77
generated_msg/py/llama2_70b/0.0,0.84,0.83,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.81,0.83
generated_msg/py/llama2_70b/0.0,0.86,0.85,0.86
generated_msg/py/llama2_70b/0.0,0.82,0.77,0.8
generated_msg/py/llama2_70b/0.0,0.84,0.81,0.82
generated_msg/py/llama2_70b/0.0,0.9,0.87,0.88
generated_msg/py/llama2_70b/0.0,0.84,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.83,0.73,0.78
generated_msg/py/llama2_70b/0.0,0.84,0.78,0.81
generated_msg/py/llama2_70b/0.0,0.89,0.8,0.84
generated_msg/py/llama2_70b/0.0,0.82,0.83,0.82
generated_msg/py/llama2_70b/0.0,0.82,0.71,0.76
generated_msg/py/llama2_70b/0.0,0.92,0.91,0.91
generated_msg/py/llama2_70b/0.0,0.88,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.92,0.87
generated_msg/py/llama2_70b/0.0,0.85,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.84,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.88,0.82,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.82,0.84
generated_msg/py/llama2_70b/0.0,0.79,0.75,0.77
generated_msg/py/llama2_70b/0.0,0.85,0.83,0.84
generated_msg/py/llama2_70b/0.0,0.92,0.84,0.87
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.86,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.84,0.89,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.9,0.88
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.87,0.85,0.86
generated_msg/py/llama2_70b/0.0,0.84,0.81,0.82
generated_msg/py/llama2_70b/0.0,0.83,0.89,0.86
generated_msg/py/llama2_70b/0.0,0.83,0.74,0.78
generated_msg/py/llama2_70b/0.0,0.81,0.87,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.86,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.86,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.73,0.8
generated_msg/py/llama2_70b/0.0,0.83,0.87,0.85
generated_msg/py/llama2_70b/0.0,0.87,0.83,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.94,0.9
generated_msg/py/llama2_70b/0.0,0.84,0.76,0.8
generated_msg/py/llama2_70b/0.0,0.86,0.82,0.84
generated_msg/py/llama2_70b/0.0,0.85,0.79,0.82
generated_msg/py/llama2_70b/0.0,0.83,0.88,0.86
generated_msg/py/llama2_70b/0.0,0.81,0.87,0.84
generated_msg/py/llama2_70b/0.0,0.81,0.87,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.75,0.79
generated_msg/py/llama2_70b/0.0,0.88,0.8,0.84
generated_msg/py/llama2_70b/0.0,0.9,0.92,0.91
generated_msg/py/llama2_70b/0.0,0.86,0.83,0.85
generated_msg/py/llama2_70b/0.0,0.87,0.89,0.88
generated_msg/py/llama2_70b/0.0,0.86,0.84,0.85
generated_msg/py/llama2_70b/0.0,0.84,0.79,0.81
generated_msg/py/llama2_70b/0.0,0.89,0.89,0.89
generated_msg/py/llama2_70b/0.0,0.95,0.96,0.96
generated_msg/py/llama2_70b/0.0,0.82,0.74,0.78
generated_msg/py/llama2_70b/0.0,0.88,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.84,0.74,0.79
generated_msg/py/llama2_70b/0.0,0.8,0.78,0.79
generated_msg/py/llama2_70b/0.0,0.88,0.82,0.85
generated_msg/py/llama2_70b/0.0,0.9,0.8,0.85
generated_msg/py/llama2_70b/0.0,0.93,0.83,0.88
generated_msg/py/llama2_70b/0.0,0.88,0.9,0.89
generated_msg/py/llama2_70b/0.0,0.86,0.88,0.87
generated_msg/py/llama2_70b/0.0,0.85,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.88,0.87,0.88
generated_msg/py/llama2_70b/0.0,0.84,0.85,0.85
generated_msg/py/llama2_70b/0.0,0.86,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.89,0.77,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.88,0.86
generated_msg/py/llama2_70b/0.0,0.87,0.76,0.81
generated_msg/py/llama2_70b/0.0,0.87,0.78,0.82
generated_msg/py/llama2_70b/0.0,0.92,0.94,0.93
generated_msg/py/llama2_70b/0.0,0.87,0.81,0.84
generated_msg/py/llama2_70b/0.0,0.82,0.74,0.78
generated_msg/py/llama2_70b/0.0,0.9,0.82,0.86
generated_msg/py/llama2_70b/0.0,0.83,0.92,0.87
generated_msg/py/llama2_70b/0.0,0.85,0.8,0.82
generated_msg/py/llama2_70b/0.0,0.89,0.9,0.9
generated_msg/py/llama2_70b/0.0,0.88,0.8,0.83
generated_msg/py/llama2_70b/0.0,0.84,0.7,0.76
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.84,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.81,0.81,0.81
generated_msg/py/llama2_70b/0.0,0.84,0.87,0.85
generated_msg/py/llama2_70b/0.0,0.91,0.86,0.88
generated_msg/py/llama2_70b/0.0,0.84,0.76,0.8
generated_msg/py/llama2_70b/0.0,0.75,0.83,0.79
generated_msg/py/llama2_70b/0.0,0.91,0.94,0.93
generated_msg/py/llama2_70b/0.0,0.84,0.78,0.81
generated_msg/py/llama2_70b/0.0,0.83,0.86,0.84
generated_msg/py/llama2_70b/0.0,0.86,0.77,0.81
generated_msg/py/llama2_70b/0.0,0.92,0.93,0.92
generated_msg/py/llama2_70b/0.0,0.95,0.96,0.96
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.79,0.77,0.78
generated_msg/py/llama2_70b/0.0,0.87,0.81,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.75,0.79
generated_msg/py/llama2_70b/0.0,0.85,0.8,0.83
generated_msg/py/llama2_70b/0.0,0.87,0.85,0.86
generated_msg/py/llama2_70b/0.0,0.83,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.84,0.82,0.83
generated_msg/py/llama2_70b/0.0,0.79,0.86,0.82
generated_msg/py/llama2_70b/0.0,0.83,0.77,0.8
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.85,0.89,0.87
generated_msg/py/llama2_70b/0.0,0.83,0.81,0.82
generated_msg/py/llama2_70b/0.0,0.85,0.87,0.86
generated_msg/py/llama2_70b/0.0,0.89,0.85,0.87
generated_msg/py/llama2_70b/0.0,0.85,0.84,0.84
generated_msg/py/llama2_70b/0.0,0.85,0.77,0.81
generated_msg/py/llama2_70b/0.0,0.82,0.86,0.84
generated_msg/py/llama2_70b/0.0,0.83,0.84,0.83
generated_msg/py/llama2_70b/0.0,0.83,0.72,0.77
generated_msg/py/llama2_70b/0.0,0.83,0.8,0.82
generated_msg/py/llama2_70b/0.0,0.82,0.85,0.84
generated_msg/py/llama2_70b/0.0,0.79,0.77,0.78
generated_msg/py/llama2_70b/0.0,0.86,0.88,0.87
generated_msg/py/llama2_70b/0.0,0.88,0.82,0.85
generated_msg/py/llama2_70b/0.0,0.83,0.89,0.86
generated_msg/py/llama2_70b/0.0,0.82,0.68,0.74
generated_msg/py/llama2_70b/0.0,0.88,0.88,0.88
generated_msg/py/llama2_70b/0.0,0.87,0.82,0.85
generated_msg/py/llama2_70b/0.0,0.82,0.84,0.83
generated_msg/py/llama2_70b/0.0,0.83,0.73,0.78
generated_msg/py/llama2_70b/0.0,0.79,0.79,0.79
generated_msg/py/llama2_70b/0.0,0.88,0.91,0.9
